bedrooms,bathrooms,area_sqft,balconies,floor,location_rating,age_years,furnishing,parking_spaces,distance_to_city_center_km,rent_price
4,2,820,1,17,1,27,0,0,12.954766608235278,45.62263188642889
5,2,406,0,13,3,9,0,1,21.128599415530637,51.62756295692482
3,3,1948,1,13,4,20,1,2,20.038323665365375,90.34357656631555
5,1,2733,2,7,5,7,0,0,10.911331706387475,108.10776312294212
5,3,1070,1,9,5,9,1,1,24.428912222435564,75.92327404787765
2,1,2836,1,18,1,20,0,2,15.085799122182326,78.95118022231522
3,1,815,1,1,3,16,1,2,24.127483206472036,43.67016797382062
3,3,1406,0,13,4,4,0,2,18.262335647065015,60.48530213445898
3,1,2136,2,8,2,12,0,1,10.781222759419563,65.39654246512303
5,2,827,0,9,2,20,1,2,6.610681859416069,58.90258372664322
4,2,733,2,1,5,20,1,0,12.169810917284343,61.635044508260364
3,1,2719,0,9,4,27,1,1,23.465156744789226,89.65116060645278
5,2,2766,1,11,2,18,1,2,4.125444273682172,103.07214509261385
2,3,926,2,4,1,11,0,1,12.047606306121493,50.30765909848414
4,2,1595,1,16,4,11,0,0,9.325146863261287,81.06493692585305
2,1,2153,2,14,5,24,1,2,21.81456349280353,81.6557867047795
4,3,2072,2,18,3,20,0,1,20.29739453378317,88.80188745287913
5,2,2768,0,9,1,27,1,1,14.251319128586335,93.07115771051289
1,3,1955,0,1,1,1,0,0,10.96163578691726,63.15558222579259
4,1,2428,1,3,4,20,1,0,17.420324512618947,87.66889239422181
2,2,2054,1,1,3,8,1,1,23.8739766472366,79.8856478355023
5,3,853,2,3,1,29,0,2,3.4278785709162456,59.14461596125476
4,3,1145,2,14,3,23,0,2,22.571858588972276,65.38049613561724
1,2,2303,0,14,5,21,0,1,8.061531841811298,70.56020405669027
1,3,1328,0,13,1,24,1,0,1.10120349248424,49.539232977279035
3,3,1247,0,1,2,22,0,2,18.784045163399885,50.42181935971071
3,1,1267,0,15,5,1,0,2,19.92220054078904,56.32758813338504
2,1,1173,0,7,5,29,1,0,8.314211178391405,54.6880973684704
4,1,2530,2,16,1,0,0,0,19.6827331007278,73.64817575017688
4,1,942,2,1,2,13,1,0,20.15244151123898,52.8801192556429
3,1,721,1,15,3,12,0,1,17.207293758233433,53.241106237414996
4,1,1185,2,15,2,2,1,1,1.9273715423034439,67.60359374656069
4,2,939,0,19,5,26,1,1,17.018046121935946,75.06179471123995
1,1,2699,2,6,1,19,0,0,23.377739853824462,63.37641875512514
3,3,2188,2,6,2,24,0,1,15.88756504030367,76.92650191797979
5,2,848,2,1,2,4,0,0,9.806163102361861,53.91696543830528
3,3,889,1,16,5,1,1,1,14.523555803468671,59.79069403416965
5,1,2305,1,18,3,25,0,1,24.83550141257808,84.09515974778064
1,1,863,2,13,2,20,1,2,12.341971256853817,39.554665508393136
2,3,713,2,12,2,28,0,0,21.197216756624876,47.77435517300459
4,3,2355,0,18,4,17,1,2,4.324821589739435,97.69387207446621
1,3,784,1,10,5,8,0,0,2.3555416935246054,35.70018499463151
4,2,694,0,14,4,21,0,1,10.363548015568995,49.623576526891924
2,1,1638,0,11,5,27,0,1,4.306541949571266,59.02019718607315
2,3,1161,2,18,5,27,1,1,8.932660688209573,57.89647426363723
1,1,1498,2,12,4,11,1,0,18.17026771123211,54.14363425334008
2,3,2791,2,17,3,4,1,0,11.691710927444769,97.38663763295077
5,1,2137,0,3,3,17,1,1,8.709142082588276,84.03272806871814
2,2,2589,0,1,5,22,0,2,22.396094104889325,88.5105930026428
4,1,1622,0,1,4,22,1,1,1.2262918092291475,74.84622120576715
4,3,2342,2,6,2,1,0,1,20.53668032609975,89.36827533564278
4,1,2853,2,19,5,9,0,1,15.91045099318093,88.86407292575241
4,2,627,2,4,5,21,1,1,2.114937050319176,63.87909348498967
5,2,810,0,13,1,9,0,2,1.819698695723389,48.70758221317971
3,1,1090,0,12,3,25,0,2,5.125614511295233,56.280245450322354
1,3,1277,1,8,4,2,0,2,24.45774094727645,48.13511576496592
4,2,1186,2,7,2,23,0,0,3.057014011199711,63.193853834976
2,2,2509,0,7,2,13,0,1,18.732538179799015,74.19852370417615
4,1,1750,1,7,5,4,1,0,10.638211766974944,81.6582996211614
2,2,2139,0,14,2,23,1,1,6.679495680368582,73.42226086355826
2,2,2386,0,18,2,22,1,2,14.800107879205068,68.87291212988886
4,3,1278,2,19,5,29,0,1,9.8365074509361,75.78150195953367
5,3,2007,1,19,3,12,0,2,8.444374791554228,85.1906686500646
2,3,2013,0,18,1,26,1,1,6.75093453088503,77.90691238100958
2,1,2803,1,6,3,23,0,1,11.987616279626316,81.94133994902936
4,2,470,1,16,3,27,1,2,5.070519653526068,56.89637171184107
2,1,2710,2,3,1,16,0,1,21.446744382533726,70.33943831210748
2,2,705,1,2,5,5,0,2,15.201826030983199,49.89240749005489
4,2,1161,2,15,3,28,1,2,2.50915576525097,69.98677120267354
4,2,987,2,11,4,28,0,1,11.969045682457857,65.00635064361626
1,3,2521,2,19,4,26,0,2,16.110168445468723,83.76266442605814
5,1,2589,1,18,1,12,1,0,21.678652362231215,95.82310486249725
5,1,2008,0,11,4,28,1,0,1.5635116875460096,83.4170668613338
2,2,501,2,3,5,11,1,1,11.950610263338445,48.648305528092266
5,1,2029,0,4,2,2,1,2,17.940181325198658,79.67249595331555
2,3,2004,1,6,5,29,1,0,5.707067927333907,85.08512069593039
1,1,592,0,12,1,15,1,0,6.312301146050841,28.766512706441986
4,2,1485,0,4,2,4,0,2,12.752170309232584,60.109121862286
4,3,2857,2,12,4,1,0,0,22.227871150772557,98.53527579418358
4,3,699,2,4,3,10,1,0,10.558510821245228,60.37425781427929
5,2,853,2,2,4,3,0,1,12.627674215549213,60.80960844689351
1,1,1018,1,12,5,21,0,1,16.258198220452726,39.68797666021402
5,2,1036,0,13,5,0,1,2,8.458828646050206,74.64670148512857
5,1,2748,1,16,1,12,0,2,21.810063580734884,87.54883285018315
1,1,1178,1,4,3,17,0,0,24.084629351900297,38.26826697988416
1,3,1879,1,8,3,15,0,1,16.607376980219186,60.96332038798932
1,2,2649,1,5,2,1,1,2,16.323428491784107,84.95820975474038
1,3,2749,2,14,2,8,0,0,17.165218751805593,69.66563223794638
4,2,2444,0,15,5,26,1,1,5.653529205577712,98.447477274469
3,2,2047,2,11,1,11,1,2,18.57693828743327,81.38781826648149
3,3,736,2,10,5,4,0,1,9.327455962617403,55.26511947799937
1,2,2479,1,10,3,4,0,0,24.84046398320105,75.86992935898938
3,2,2394,2,6,3,21,1,0,19.0520238449459,77.89483788840559
3,1,2407,0,16,5,12,1,0,15.01039703911107,79.17518141340655
1,2,2182,1,4,3,15,1,1,22.893655008747388,71.54510614356465
3,2,1471,2,9,2,25,0,2,24.28096523629307,54.01114319634988
5,3,2431,1,10,3,18,1,2,20.63378792353741,103.72196070807742
2,3,1673,0,5,2,8,1,0,19.158334129469427,69.26901695944291
2,2,1649,1,10,4,15,1,0,2.4557623215202673,78.00181382637189
1,1,1695,2,16,1,18,1,0,17.944384325516403,55.408346086811
4,1,727,2,11,1,3,1,0,9.058113298977183,46.71652188499147
1,3,1196,0,6,3,27,0,1,23.317909463295877,52.52123989576191
4,2,1603,0,7,1,14,0,0,15.682316015643936,62.516425148868116
2,2,1064,1,12,4,8,0,0,9.895683035839841,44.70571906926644
1,1,1362,2,13,3,15,1,2,9.135475306105654,55.040841210154824
5,1,2029,0,17,2,25,1,1,14.31595323623039,84.29107290246941
3,1,1793,0,9,4,23,0,0,12.795950593527888,63.326255598123
4,3,1668,2,8,4,5,0,1,10.38100090383854,85.13108727542469
3,2,1583,0,16,1,7,0,0,6.002888755368338,54.24070009738203
3,3,772,0,3,2,0,1,1,20.11533610840984,63.552036001139896
1,2,684,2,5,5,13,1,0,11.401862173796783,47.12767735795566
3,3,2968,0,13,4,3,0,0,3.3734986579918624,90.07109460286868
5,2,1206,2,18,1,9,0,1,3.049687198263107,69.52321536431195
3,1,1046,2,16,4,26,1,0,6.714792611970033,63.201162461151014
1,1,2004,1,14,2,15,1,0,14.253507737431333,65.91152749048848
5,1,2583,2,11,2,3,1,1,4.551478895671584,79.51867525399489
2,3,495,0,18,3,1,0,2,6.160408903402724,30.287871860541834
3,1,673,1,8,5,1,0,2,13.040877220152028,52.59933612873331
1,2,1600,1,12,5,12,1,0,6.22624943029071,71.36894905292162
2,3,2172,0,19,1,10,0,1,21.59354433131049,61.278736695658324
2,2,1183,1,2,5,9,0,2,15.160205412296463,58.875701501450415
4,3,1700,0,9,2,24,1,1,3.059836373338862,77.72800594472433
5,2,531,1,9,5,5,1,2,4.357258914504537,58.62218311886602
3,2,1790,0,14,1,6,0,0,5.684177003370676,59.34866663012515
1,3,2820,2,15,4,26,1,1,16.117464111816062,100.72674301274607
4,3,1549,2,11,5,26,0,0,3.5356096446777316,73.6197071416386
5,1,2210,1,13,5,14,0,0,2.038953197287171,79.50599920495169
4,1,2430,1,5,2,19,1,0,18.483049195463828,82.2392831490517
5,2,1207,2,6,2,18,0,1,12.475040180451984,48.232736707917915
5,2,1143,0,5,4,2,0,2,21.37103473890996,66.51936890692734
3,2,450,1,1,3,20,1,0,20.028587533391217,38.80548988026427
5,3,1581,2,18,5,26,1,1,7.564184926691279,84.2065123888748
4,3,455,1,8,2,13,1,2,5.614222532267363,54.354338699930764
5,1,1143,2,17,3,21,1,0,13.391428538915584,59.3587996360946
3,2,2875,2,11,5,29,0,2,2.92249908161934,90.3602601687528
3,1,842,2,11,5,1,0,2,16.188682111429667,58.55664347040973
4,3,2334,0,3,3,22,0,1,1.2923058920631512,88.45398050252662
2,3,2773,1,8,2,15,0,1,20.274525270449374,84.80453822062542
2,3,2061,0,8,4,22,0,1,22.376733292058603,78.40525150744722
5,1,479,0,3,5,16,1,2,24.908809470840545,59.677408103769004
1,3,2921,2,10,1,14,1,2,9.258575480803408,89.30448676296805
5,2,776,0,19,1,29,1,1,14.486230503842904,60.49138011834531
4,1,2780,1,14,1,28,0,2,21.711071735281394,77.31409210250914
4,3,840,1,18,4,12,1,2,12.091336105907782,68.81995757282064
4,1,525,2,3,5,28,0,2,8.902208974654702,41.727872663806146
4,1,2117,2,14,2,28,1,1,2.1718031966160707,64.5174895214347
4,3,618,1,11,2,11,1,0,10.457761957735487,62.88997727364917
3,3,1347,1,10,4,6,1,0,2.8933919246857567,71.19262223676567
2,1,677,2,14,5,28,1,1,9.711905243479148,54.05316322285793
4,1,994,0,1,3,19,1,2,9.232768152909973,58.7221802618865
1,3,1334,1,16,3,19,0,1,16.532338037078272,55.88989992126888
1,2,2418,2,6,5,2,0,0,9.785840106015637,82.52464070081538
1,1,540,2,18,5,8,0,1,10.220095901170978,27.464335743783316
1,1,2030,1,16,2,2,0,0,7.87241594098547,57.73685814872294
3,2,1276,2,19,4,15,0,0,15.591554508979588,63.952328412133504
1,3,2129,1,16,4,19,0,1,10.34440320594901,74.60215711300688
4,3,509,2,5,2,2,1,1,23.76611264888115,46.56679281771359
5,2,1475,2,12,1,7,1,0,22.407314336759335,71.21105257131367
1,3,2393,0,6,3,7,1,2,6.686007081013085,83.4864305562056
3,3,1622,2,2,5,25,0,2,10.695334319302063,77.58282120727753
3,1,1195,1,16,3,23,0,0,16.22998151129363,60.75890511461318
1,1,2429,1,11,3,14,0,2,1.3914791298808753,69.59601945772769
5,1,1128,0,12,4,4,1,0,6.457885382281517,65.85486829048573
1,2,2952,1,11,2,12,1,0,7.840715132127983,88.90509847233501
3,3,1937,2,19,1,14,1,0,10.657527174894636,79.66965191432665
2,3,1440,0,8,1,6,1,1,22.343494462441452,54.65017420595605
4,1,714,1,18,2,11,1,1,3.3118488219592326,63.18200505574532
3,1,476,2,5,3,2,1,1,2.5799935691148708,56.514848533306804
1,2,2040,0,12,2,7,0,0,16.946038055687385,56.91394598584198
4,3,1111,2,10,2,9,0,1,9.74786039124065,52.6994016809063
1,2,1937,1,15,5,1,1,2,5.265293991617155,67.02804770201054
1,3,2267,1,5,5,7,1,2,17.84333971953412,76.96281574351892
2,2,1253,1,17,3,21,0,1,6.830572916560486,44.80262256764013
4,1,1561,1,4,4,17,1,1,14.57535463513053,69.9130988339272
4,2,1997,0,12,1,11,0,0,10.810155539973513,64.87209126774702
2,2,2312,1,18,5,21,1,1,9.669187184510244,93.44451685377187
3,1,664,0,8,3,26,1,1,18.307400150469036,38.6476959470062
1,3,732,0,17,2,25,1,1,15.721815096178297,45.24396107964733
5,3,2635,2,8,5,17,1,0,13.332206669079522,109.0232296052596
1,1,1486,1,13,2,18,0,2,4.074034296595446,46.77907192015988
1,2,1219,2,3,2,26,0,0,15.055374038584311,42.752315663935626
3,2,1702,2,3,5,4,1,1,17.62604708826338,78.77801369348494
1,2,1965,2,7,3,15,0,1,20.555185886957897,67.6134202839282
2,3,1594,2,18,1,16,1,2,8.185721800431992,59.942906122653135
2,2,1926,2,7,3,8,0,1,7.343468031759912,57.50557630786787
4,3,698,1,2,4,9,0,0,18.97054130544393,57.73601955201182
5,2,2648,2,7,4,18,1,0,12.21888843347549,99.79652943026551
